,lib_A_tag_ACACAC,lib_A_tag_ACAGCA,lib_A_tag_ACGACG,lib_A_tag_ACTAGC,lib_A_tag_ACTCTG,lib_A_tag_ACTGAT,lib_A_tag_AGAGAG,lib_A_tag_ATATCG,lib_A_tag_ATCAGT,lib_A_tag_ATGATA,lib_A_tag_ATGCAG,lib_A_tag_ATGTGC,lib_A_tag_CACGAT,lib_A_tag_CGACGC,lib_A_tag_CTGCGT,lib_A_tag_GATGAC,lib_A_tag_GCAGTG,lib_A_tag_GCGAGT,lib_A_tag_GCGCTC,lib_A_tag_GCGTAG,lib_A_tag_GCTACA,lib_A_tag_GTCTCT,lib_A_tag_TCGCAT,lib_A_tag_TCGTCA,lib_A_tag_TGTATG,lib_B_tag_ACACAC,lib_B_tag_ACAGCA,lib_B_tag_ACATGT,lib_B_tag_ACGACG,lib_B_tag_ACTAGC,lib_B_tag_ACTCTG,lib_B_tag_ACTGAT,lib_B_tag_AGAGAG,lib_B_tag_ATCAGT,lib_B_tag_ATGATA,lib_B_tag_ATGCAG,lib_B_tag_ATGTGC,lib_B_tag_CGACGC,lib_B_tag_CTCGCA,lib_B_tag_CTGCGT,lib_B_tag_GATGAC,lib_B_tag_GCAGTG,lib_B_tag_GCGAGT,lib_B_tag_GCGCTC,lib_B_tag_GCGTAG,lib_B_tag_GCTACA,lib_B_tag_GTCTCT,lib_B_tag_TACGTG,lib_B_tag_TAGATC,lib_B_tag_TCGCAT,lib_B_tag_TCGTCA,lib_B_tag_TCTGCG,lib_B_tag_TGTATG,lib_C_tag_ACACAC,lib_C_tag_ACATGT,lib_C_tag_ACGACG,lib_C_tag_ACTAGC,lib_C_tag_ACTCTG,lib_C_tag_ACTGAT,lib_C_tag_AGAGAG,lib_C_tag_ATCAGT,lib_C_tag_ATGATA,lib_C_tag_ATGCAG,lib_C_tag_ATGTGC,lib_C_tag_CACGAT,lib_C_tag_CGACGC,lib_C_tag_CTCGCA,lib_C_tag_CTGCGT,lib_C_tag_GATGAC,lib_C_tag_GCAGTG,lib_C_tag_GCGAGT,lib_C_tag_GCGCTC,lib_C_tag_GCGTAG,lib_C_tag_GCTACA,lib_C_tag_GTCTCT,lib_C_tag_TACGTG,lib_C_tag_TAGATC,lib_C_tag_TCGCAT,lib_C_tag_TCGTCA,lib_C_tag_TCTGCG,lib_C_tag_TGTATG,lib_D_tag_ACACAC,lib_D_tag_ACAGCA,lib_D_tag_ACATGT,lib_D_tag_ACGACG,lib_D_tag_ACTAGC,lib_D_tag_ACTCTG,lib_D_tag_ACTGAT,lib_D_tag_AGAGAG,lib_D_tag_ATATCG,lib_D_tag_ATCAGT,lib_D_tag_ATGATA,lib_D_tag_ATGCAG,lib_D_tag_ATGTGC,lib_D_tag_CACGAT,lib_D_tag_CGACGC,lib_D_tag_CTCGCA,lib_D_tag_CTGCGT,lib_D_tag_GATGAC,lib_D_tag_GCAGTG,lib_D_tag_GCGAGT,lib_D_tag_GCGCTC,lib_D_tag_GCGTAG,lib_D_tag_GCTACA,lib_D_tag_GTCTCT,lib_D_tag_TACGTG,lib_D_tag_TAGATC,lib_D_tag_TCGCAT,lib_D_tag_TCGTCA,lib_D_tag_TCTGCG,lib_D_tag_TGTATG,lib_E_tag_ACACAC,lib_E_tag_ACAGCA,lib_E_tag_ACATGT,lib_E_tag_ACGACG,lib_E_tag_ACTAGC,lib_E_tag_ACTCTG,lib_E_tag_ACTGAT,lib_E_tag_AGAGAG,lib_E_tag_ATATCG,lib_E_tag_ATCAGT,lib_E_tag_ATGATA,lib_E_tag_ATGCAG,lib_E_tag_ATGTGC,lib_E_tag_CACGAT,lib_E_tag_CGACGC,lib_E_tag_CTCGCA,lib_E_tag_GATGAC,lib_E_tag_GCAGTG,lib_E_tag_GCGAGT,lib_E_tag_GCGCTC,lib_E_tag_GCGTAG,lib_E_tag_GCTACA,lib_E_tag_TACGTG,lib_E_tag_TAGATC,lib_E_tag_TCGCAT,lib_E_tag_TCGTCA,lib_E_tag_TCTGCG,lib_E_tag_TGTATG,lib_F_tag_ACACAC,lib_F_tag_ACAGCA,lib_F_tag_ACATGT,lib_F_tag_ACGACG,lib_F_tag_ACTAGC,lib_F_tag_ACTCTG,lib_F_tag_ACTGAT,lib_F_tag_AGAGAG,lib_F_tag_ATATCG,lib_F_tag_ATCAGT,lib_F_tag_ATGATA,lib_F_tag_ATGCAG,lib_F_tag_ATGTGC,lib_F_tag_CACGAT,lib_F_tag_CGACGC,lib_F_tag_GATGAC,lib_F_tag_GCAGTG,lib_F_tag_GCGAGT,lib_F_tag_GCGCTC,lib_F_tag_GCGTAG,lib_F_tag_GCTACA,lib_F_tag_GTCTCT,lib_F_tag_TACGTG,lib_F_tag_TAGATC,lib_F_tag_TCGCAT,lib_F_tag_TCGTCA,lib_F_tag_TCTGCG,lib_F_tag_TGTATG,lib_G_tag_ACACAC,lib_G_tag_ACAGCA,lib_G_tag_ACATGT,lib_G_tag_ACGACG,lib_G_tag_ACTAGC,lib_G_tag_ACTCTG,lib_G_tag_ACTGAT,lib_G_tag_AGAGAG,lib_G_tag_ATATCG,lib_G_tag_ATCAGT,lib_G_tag_ATGATA,lib_G_tag_ATGCAG,lib_G_tag_ATGTGC,lib_G_tag_CACGAT,lib_G_tag_CGACGC,lib_G_tag_CTCGCA,lib_G_tag_CTGCGT,lib_G_tag_GATGAC,lib_G_tag_GCAGTG,lib_G_tag_GCGCTC,lib_G_tag_GCGTAG,lib_G_tag_GCTACA,lib_G_tag_GTCTCT,lib_G_tag_TACGTG,lib_G_tag_TAGATC,lib_G_tag_TCGCAT,lib_G_tag_TCGTCA,lib_G_tag_TCTGCG,lib_G_tag_TGTATG,lib_H_tag_ACACAC,lib_H_tag_ACAGCA,lib_H_tag_ACATGT,lib_H_tag_ACTAGC,lib_H_tag_ACTCTG,lib_H_tag_ACTGAT,lib_H_tag_AGAGAG,lib_H_tag_ATATCG,lib_H_tag_ATCAGT,lib_H_tag_ATGATA,lib_H_tag_ATGCAG,lib_H_tag_ATGTGC,lib_H_tag_CACGAT,lib_H_tag_CTCGCA,lib_H_tag_CTGCGT,lib_H_tag_GATGAC,lib_H_tag_GCAGTG,lib_H_tag_GCGAGT,lib_H_tag_GCGCTC,lib_H_tag_GCGTAG,lib_H_tag_GCTACA,lib_H_tag_GTCTCT,lib_H_tag_TACGTG,lib_H_tag_TAGATC,lib_H_tag_TCGCAT,lib_H_tag_TCGTCA,lib_H_tag_TCTGCG,lib_H_tag_TGTATG,lib_J_tag_ACACAC,lib_J_tag_ACAGCA,lib_J_tag_ACATGT,lib_J_tag_ACGACG,lib_J_tag_ACTAGC,lib_J_tag_ACTCTG,lib_J_tag_ACTGAT,lib_J_tag_AGAGAG,lib_J_tag_ATATCG,lib_J_tag_ATCAGT,lib_J_tag_ATGATA,lib_J_tag_ATGCAG,lib_J_tag_ATGTGC,lib_J_tag_CACGAT,lib_J_tag_CGACGC,lib_J_tag_CTCGCA,lib_J_tag_CTGCGT,lib_J_tag_GATGAC,lib_J_tag_GCAGTG,lib_J_tag_GCGAGT,lib_J_tag_GCGCTC,lib_J_tag_GCGTAG,lib_J_tag_GCTACA,lib_J_tag_GTCTCT,lib_J_tag_TAGATC,lib_J_tag_TCGCAT,lib_J_tag_TCTGCG,lib_J_tag_TGTATG,lib_K_tag_ACACAC,lib_K_tag_ACAGCA,lib_K_tag_ACGACG,lib_K_tag_ACTAGC,lib_K_tag_ACTCTG,lib_K_tag_ACTGAT,lib_K_tag_ATATCG,lib_K_tag_ATCAGT,lib_K_tag_ATGATA,lib_K_tag_ATGCAG,lib_K_tag_ATGTGC,lib_K_tag_CACGAT,lib_K_tag_CTCGCA,lib_K_tag_CTGCGT,lib_K_tag_GATGAC,lib_K_tag_GCAGTG,lib_K_tag_GCGAGT,lib_K_tag_GCGCTC,lib_K_tag_GCGTAG,lib_K_tag_GCTACA,lib_K_tag_GTCTCT,lib_K_tag_TACGTG,lib_K_tag_TAGATC,lib_K_tag_TCGCAT,lib_K_tag_TCGTCA,lib_K_tag_TCTGCG,lib_K_tag_TGTATG
DUP_1,55640,64832,241353,110996,7153,169053,102364,179872,315966,86521,197070,121935,181641,37129,248881,147,164969,133169,53019,107,148650,107859,87661,27159,335139,127716,160289,117163,97899,196368,197366,163133,629,5,19,196873,50651,8,263650,65871,86472,52313,95770,103223,61943,7,43,249990,163066,147367,18,192693,102940,49765,131275,162108,18,77270,37912,202442,118598,309830,696,159531,229213,100600,101044,166107,138196,224850,17999,104343,146421,83796,93228,200998,16,86007,96794,69748,16,98762,41609,29636,2545,69835,3,152371,129044,15856,53414,102773,4,1,124139,75758,88762,74752,14104,2,522,83498,72662,26971,55550,169434,4083,41309,44302,17,155581,47993,48549,154167,71358,120680,147071,413,213,108265,186109,182127,83212,44769,191059,85320,178869,118371,1238,305,52543,1962,93066,4805,36895,198,846,57717,55958,154522,3621,153002,106862,75404,218786,157424,6687,65111,29395,97420,103866,52101,78363,42532,169514,223841,24478,4696,136766,97139,34277,1,176156,3359,56310,97122,223098,13893,46321,43773,96203,1962,80997,125329,50120,47851,19136,144376,2098,21,49,24339,3041,49243,123921,94604,39597,26325,21,8,123883,73742,16045,15,105177,95343,83827,6650,255638,152279,284388,209553,66,197604,87357,109511,109618,104127,92734,102537,83301,2566,107245,66068,148310,109732,196623,4740,82092,143285,31,69721,168630,103569,85071,102730,604,63524,177449,1981,115379,144119,156019,125461,98150,64149,59662,115473,179377,256558,1,4,249547,1,30446,2856,88607,2,32394,564,143471,123598,16917,57691,183830,69033,53430,38758,9,8016,40571,89165,204837,225342,231655,52490,182327,87648,151453,43682,19423,9,328331,134954,8,143502,75789,132539,251591
DUP_2,99,60,13799,38390,34166,77615,35269,288,10398,73,127,42,116,40356,9,32,37,97755,12196,14,62295,113,72717,153528,8331,19,42345,6245,129678,353,3701,279,451,20,16,6043,160607,6,186,131,46224,47168,21321,37298,83473,0,1,859,2,129655,2,274844,51757,38500,180480,63737,4,27829,1480,38737,122127,220,507,117421,345,9,4370,1472,88787,110019,125517,99,4250,5,420,4,12,4680,97522,1856,0,18058,47,2,125658,2,175969,4327,14804,81223,5,491,0,2,45327,0,63,37681,88863,0,11,6435,9,5604,4,65,35492,2,31323,716,3649,29935,11,11019,4792,51748,24553,196,92,1787,13510,12212,5,1336,20933,22623,21069,103,11,221,27,8400,43102,23084,30768,191,348,1,28,28877,14165,3050,17,27093,5961,7,59190,6,164066,119767,72663,3,0,140308,234316,107561,92705,27002,64308,107,881,0,6,161101,19990,7,138,78263,33633,24212,365,98107,22257,16,12,14385,67467,71836,7729,2,2,82010,16905,3,51,439,229,5938,3,0,73116,64930,654,6,74286,3,50148,61329,344383,3202,15694,190,12,1358,50553,641,109,24116,28037,1,139,45,6930,16,5747,6,11579,18226,1865,125963,18,21,1348,143,65123,35994,395,45361,51994,14,148870,768,89640,28619,2686,2,43092,55821,13903,200,102577,4,122015,3,1249,152999,17849,0,185130,391,40661,5366,114037,74,39932,128,48272,340821,1,65682,127492,6649,25290,352,43682,183891,10,46663,1164,10779,70695,1,175,8481,6,34832,4,131,31
DUP_3,1,3,25209,17247,23,27205,15736,6119,32556,30,8,35867,575,27274,38,414132,11,50132,16,5,12838,178,25,9,30836,2,23966,53727,3903,6775,10507,3,10998,430741,2,26,20850,0,9119,85696,1,41316,48444,65882,2605,351390,3,8,3,21680,22,0,0,2,1,13175,3,75,35937,41239,9369,20,11382,23394,7064,2,48209,0,54454,3,36,160,21,58655,40330,0,329430,38871,7404,161422,448101,19421,0,0,41372,14325,0,15478,27124,3,3,2,0,165966,10253,0,0,11762,0,2,14129,1,1,3,1,0,1,27222,0,0,14399,0,1,0,14338,10786,29538,307075,287612,5504,88,8,23467,101762,40524,2018,39588,1124,22869,99,32351,1,15098,29,30571,266648,21129,109538,72,30846,3,6164,1,11751,17,45517,6,3,1,3051,39264,3,0,15548,0,0,4,0,21335,1,38389,4,0,47422,57,2,8445,12,3,3,3,30896,12917,30,90456,44,3,4,8,179163,241932,8874,6,32048,7,4,15248,2,2,201418,15659,5611,14904,0,14460,28210,12,1,1,6536,31541,9139,405282,17,2,44279,199,51205,87,189942,5,37,21964,11,14,2,21953,4,196961,10753,18,2,1,13,2,15052,8611,0,28399,47434,3575,59554,59668,64835,218745,0,1,1,20188,7656,3,0,2,386644,26924,47987,47324,3,2,8257,21833,57775,0,78086,3841,92709,43577,6,367983,0,2,19347,45493,6872,4689,20587,5,2,0,2,0,298486,3,29561,1,3249,141580,3,1
DUP_4,3,0,0,0,74,0,0,187,44,14138,0,89,173,11210,0,4,0,26,178694,75,1,0,0,13,0,16,192,0,2770,0,6,660,0,1,0,0,238,0,0,0,123296,11630,0,2381,2187,0,0,0,1,0,14,0,138279,2256,0,0,0,390361,2,0,0,0,0,0,2,0,0,0,3,1416,148655,0,0,3,0,0,14,0,9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,290,0,99361,0,1,0,0,87528,0,0,1421,0,1,0,0,1245,0,0,0,0,0,0,0,0,17,28,70,0,76,26,0,2,1,0,434,0,0,0,8002,0,3,0,9001,0,0,0,0,0,3,105,2301,0,2,2864,0,0,11000,297,1,1469,1026,1,0,348,0,0,1,0,312817,0,0,1,0,66375,0,0,111,0,0,207673,778,1093,0,0,12,164,0,1,6,0,2,81468,8,0,0,1,0,60,0,58,2094,2278,0,0,1,0,1,0,126198,2,0,0,454000,0,0,36,2,1,13,0,40,0,0,0,0,10559,0,0,0,0,0,2591,236,6,4600,0,1,0,0,0,2305,2113,0,0,0,3,1800,0,0,0,0,0,209008,0,80,0,135518,0,0,0,12750,0,0,2059,1316,0,0,7,0,430,3,1675,2,156027,754,0,0,0,2,0,3,385,1
DUP_7,0,2,21157,13203,10,23,11858,48861,21,43,15,23482,26,0,9,6,9,10714,44,2,13,40,126,51,19,1,5,165018,1,51828,54076,2,46055,0,0,26930,19,0,1,58480,0,0,56389,44488,1,2,6,5,1,1,4,0,2,1,7,0,0,1,147086,20456,53963,0,46204,0,54846,2,151317,0,12044,52,0,20,18797,13886,142005,1,1,117695,44005,58,11,9262,4,1,1,0,1,0,11461,15,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6422,22,3,0,0,1,0,15554,49,14512,1,29,30853,1,37,15585,123,17062,5205,16637,9,3,29,7334,7684,2,0,10,0,1,15944,0,15018,13856,42696,4,8990,30676,31256,3,1,39,3,8657,0,0,10,0,84,104,3,0,0,167473,0,1,2,0,10,0,22,24,2,2,5,6,9,13483,2,61,36,7047,5,2,9,4,7295,0,0,48919,0,2,30,0,32279,55924,1,2,19220,2,4,4,41745,27141,8,6,4,1,150523,10,59123,2,27328,11,0,23431,1,18242,0,18373,17754,58,62558,7,2,0,9,54,11722,36699,0,2,0,1,201409,14023,75030,71,1,0,1,16197,1,1,0,74,0,100009,0,55152,0,0,33638,0,185818,0,55249,11204,65802,4,2,2,0,167,20656,18619,54287,13371,20,0,0,0,3,66,0,2,33672,0,8622,20628,0,1
DUP_8,0,0,0,0,15,0,6,0,0,0,102,0,0,0,0,0,2,9,0,0,0,0,8,1,0,0,0,4,0,0,1,0,455539,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,0,28,0,0,40,0,2,0,0,489038,0,0,0,0,0,0,0,2,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154928,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,268573,2,0,0,0,0,0,2,246965,1,0,0,0,4,0,0,5,0,0,0,0,0,4,0,0,0,0,6,2,0,0,0,0,0,0,3,7,0,0,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,0,0,2,26,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,1,57,0,0,0,0,0,0,1,0,0,0,0,0,398991,0,0,472489,0,14,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,388426,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,3,4,0,0
DUP_9,281,304,15,16371,1865,110428,15151,375,1744,22,27776,27994,35555,8211,17,25,32042,64759,111,3,2579,11918,14842,13603,1794,7,15108,0,9002,363,2,14333,273,2,3,2243,4354,0,7336,6767,3397,10977,3445,7168,5803,3,10,25381,1,88911,0,10374,3946,1642,7304,2742,5,17772,1789,125314,76245,43955,288,94451,428,20358,0,1,66115,7150,3050,20874,1580,25520,213,38993,0,0,60726,50670,0,61228,4660,5384,0,94642,0,816,599,7654,9320,11520,1,0,2109,0,7230,49017,2268,1,744,4657,6959,54,9192,22217,15839,12786,7145,1,820,369,216,8861,1,2175,90854,254,40,3,10847,10587,18945,32947,945,10653,739,23459,1207,146,15984,1,59577,1234,7884,33,1036,0,3,95295,0,0,17465,11246,2446,35600,26610,11394,15021,9970,51502,9272,1,3711,9140,6793,1137,1247,88099,8413,1506,2,1,1,13110,16211,6596,6978,7542,1713,9940,8,8139,12649,10,10766,935,4942,10,5,2,2129,825,14947,11448,9715,97,64,7,2,71536,46191,735,5,62170,21428,667,26916,14286,39,0,6400,3,4,3563,260,22819,3774,20668,2,9264,2,2,318,1627,15,3,6,59744,90150,7,5,2,11612,14190,15015,255,1945,18002,2755,11721,398,75629,4811,72197,11320,1955,917,0,7418,0,0,8052,0,1397,3,3148,0,5386,234,13944,0,3002,5638,22021,7108,11432,2,0,31556,2085,2,898,429,27124,4525,36201,611,0,92,988,1,44504,3,3,17667,0,10813,23913
DUP_10,8844,8782,1923,559,96,40,437,7832,11260,37,83313,32306,39481,16073,31,57,49340,74,8,10,10730,61818,3585,1,9453,23888,3241,0,2621,9538,6,102742,0,3,0,7758,1579,0,12509,26,3041,18268,7416,1043,1975,3,18,24933,23484,118,0,20,3370,1240,0,10291,0,2394,4972,452,1600,118216,1,107,8867,35450,1,19,56,6762,2401,28805,5250,16267,3,53387,2,0,884,3,1,231,25507,25,615,505,45743,4524,428,0,30393,13029,0,0,7479,0,51650,2,1631,1,272,0,23505,1,29509,54380,14757,8854,1467,141859,4177,2528,7154,0,26325,8543,263,2,3,13,18,0,21634,77,785,4991,652,27858,573,5,11267,13,21,69,13376,12,406,3,29,324,18,0,57237,455,7938,38827,25035,117,1,3154,71,104,0,1521,1,6862,0,74,2,61242,3607,2,0,977,1731,55459,11517,1,1544,1656,10759,604,1811,32696,6,1369,0,5814,11,0,1,852,50,9947,30501,11015,1,1,12,5,54,659,2384,2,77,21330,4041,25537,0,1,2217,13161,3,1,3700,6,32643,8345,2435,31,57533,93382,36417,10741,6829,18069,1521,32,23,1395,2,0,76,60277,3152,537,0,1284,3963,1095,4129,0,123,10580,0,121,1266,4187,1951,11643,157434,0,7974,0,4424,786,6463,0,3964,0,2606,0,2511,6,8978,18,20559,2357,0,28014,2,34231,698,8918,9703,1810,53460,3317,0,0,1,1,119050,45441,1,7972,0,81320,61762
DUP_11,0,4,58,6,1,193,2,382,72204,18,13844,19036,11205,1,19,5,20534,49,29,13,74535,49662,5363,0,66176,0,0,9551,1263,405,5,32596,1,0,1,54300,1,0,35,6,5,0,2266,3,1049,1,2,87970,0,2,0,2,2,0,0,77108,1,1,1,46,0,21415,1,0,384,13800,6978,0,55,0,251,7482,41218,6377,36427,23193,0,7046,0,1,2,21,20160,0,13423,0,0,34053,104,0,3360,40525,0,0,58360,0,16240,101,149,1,0,0,4410,1,3353,9753,1,3231,2210,0,29894,1,0,0,130647,60972,19,2,0,1,167,11,11852,49,191,0,142,7821,76,0,4025,0,259,1,0,5,0,1,151,21,0,0,6607,0,57365,21926,0,0,0,1642,59,0,1,0,0,1,0,0,158,19502,0,0,0,18709,0,6891,43,0,2414,0,38183,11261,10,6116,2,0,0,2,2,0,6,0,0,3974,5582,37120,15251,1,4,2,4,0,1,0,1,11977,0,6,0,1,15,58,0,0,4,40836,8257,2551,26,6,43952,1,209523,0,47659,3,19,1,15,0,3,0,1,44788,4767,0,0,1,0,1,2079,53598,70,2918,1,1,0,0,7,26,0,0,0,0,0,16898,2140,0,409,0,0,9167,244,2,5,7,2,1,0,0,1,167466,180,376,0,1,23856,2,0,2,0,1,22770,251956,0,0,0,25563,10714
DUP_12,0,12,0,0,328692,0,0,0,0,0,105,0,0,0,3,110,0,0,9,0,1,189,1,0,0,0,13,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2693,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6363,0,0,0,0,0,1,0,0,0,0,2,0,0,5822,0,0,1341,0,1,0,0,3,0,0,0,723,0,0,0,0,0,1,0,0,0,0,30,0,0,1727,147035,0,259816,0,0,0,0,0,0,264186,0,10908,0,0,0,0,0,0,0,3,0,0,0,5,0,0,205310,2,0,1,3,0,0,0,11241,1,0,42,0,0,0,2,0,0,0,1,0,126384,0,0,0,161213,1470,9,0,31,14,1,4,15,0,0,0,0,0,0,25,0,0,30,0,0,0,2,0,0,0,0,0,0,284832,0,0,19,1,0,370233,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,7,2,0,3,7,0,0,0,0,0
